name,chr,Samp1_B6,Samp2_B6,Samp3_B6,Samp4_B6,Samp5_B6,Samp1_Cas,Samp2_Cas,Samp3_Cas,Samp4_Cas,Samp5_Cas
62,1600025M17Rik,X,0,0,0,0,0,0,0,0,0,0
76,1700003E24Rik,X,0,0,0,0,0,0,0,0,0,0
105,1700010D01Rik,X,0,0,0,0,0,0,0,0,0,0
117,1700011M02Rik,X,0,0,0,0,0,0,0,0,0,0
129,1700013H16Rik,X,0,0,0.800686027788609,0,0.245072390708129,0,0,0,0,0
241,1700036O09Rik,X,0,0,0,0,0,0,0,0,0,0
329,1700084M14Rik,X,0,0,0,0,0,0,0,0,0,0
428,1810030O07Rik,X,28.4652531770781,28.4091716169648,26.8229819309184,27.7535191462277,29.8988316663918,9.62821010542546,6.38925339748549,4.60414695516252,2.84292013384468,1.77176689453558
450,2010106E10Rik,X,0,0,0,0,0,0,0,0,0,0
453,2010204K13Rik,X,0,0,0,0.264319229964074,0,0,0,0,0,0
454,2010308F09Rik,X,0,0,0,0,0,0,0,0,0,0
545,2610002M06Rik,X,8.8242284848942,12.6549946293752,16.4140635696665,11.8943653483833,6.86202693982762,4.81410505271273,6.38925339748549,2.63094111723572,3.79056017845957,2.95294482422596
614,3010001F23Rik,X,0,0,0,0,0,0,0,0,0,0
675,4921511C20Rik,X,0,0,0,0,0,0,0,0,0,0
697,4930402K13Rik,X,0,0,0,0,0,0,0,0,0,0
719,4930415L06Rik,X,0,0,0,0,0,0,0,0,0,0
765,4930447F04Rik,X,0,0,0,0,0,0,0,0,0,0
776,4930453H23Rik,X,0,0,0,0,0,0,0,0,0,0
803,4930480E11Rik,X,0,0,0,0,0,0,0,0,0,0
845,4930513O06Rik,X,0,0,0,0,0,0,0,0,0,0
848,4930515L19Rik,X,0,0,0,0,0,0,0,0,0,0
918,4930555B12Rik,X,0,0,0,0,0,0,0,0,0,0
930,4930558G05Rik,X,0,0,0,0,0,0,0,0,0,0
949,4930567H17Rik,X,0,0,0,0,0,0,0,0,0,0
953,4930570D08Rik,X,0,0,0,0,0,0,0,0,0,0
991,4930595M18Rik,X,0,0,0,0,0,0,0,0,0,0
998,4931400O07Rik,X,0,0,0,0,0,0,0,0,0,0
1017,4932411N23Rik,X,0,0,0,0,0,0,0,0,0,0
1021,4932429P05Rik,X,0,0,0,0,0,0,0,0,0,0
1027,4933400A11Rik,X,0,0,0,0,0,0,0,0,0,0
1034,4933403O08Rik,X,0,0,0,0,0,0,0,0,0,0
1082,4933428M09Rik,X,0,0,0,0.264319229964074,0,0,0,0,0,0
1097,4933436I01Rik,X,0,0,0,0,0,0,0,0,0,0
1121,5330434G04Rik,X,0,0,0,0,0,0,0,0,0,0
1132,5530601H04Rik,X,6.54700823072796,5.16530393035724,6.40548822230887,4.75774613935333,3.92115825133007,11.0036686919148,7.60625404462559,10.8526321085974,7.58112035691915,4.72471171876154
1134,5730405O15Rik,X,0,0,0.400343013894305,0,0,1.03159393986701,0.912750485355071,0.328867639654465,0.315880014871631,1.18117792969038
1136,5730412P04Rik,X,0,0,0,0,0.245072390708129,0,0,0.328867639654465,0,0
1164,6030498E09Rik,X,0,0,0,0,0,0,0,0,0,0
1198,8030474K03Rik,X,1.70791519062468,0,0,0,0,0.343864646622338,0,0,0,0
1279,9530051G07Rik,X,0,0.258265196517862,0.400343013894305,0.264319229964074,0.245072390708129,0,0,0,0,0
1321,A230072C01Rik,X,3.70048291302015,2.84091716169648,3.60308712504874,1.05727691985629,2.20565151637316,0,0,0,0.315880014871631,0
1322,A230072E10Rik,X,1.70791519062468,0.774795589553586,0.800686027788609,0.264319229964074,1.22536195354065,1.03159393986701,0.304250161785024,0.657735279308931,1.26352005948652,0.295294482422596
1378,A630012P03Rik,X,0,0,0,0,0,0,0,0,0,0
1500,Abcb7,X,24.7647702640579,26.6013152413398,34.0291561810159,30.1323922159044,28.428397322143,5.15796969933507,3.65100194142028,2.63094111723572,1.89528008922979,2.36235585938077
1513,Abcd1,X,17.6484569697884,16.2707073806253,14.8126915140893,27.4891999162637,17.1550673495691,8.94048081218079,9.73600517712075,9.20829391032503,0.631760029743262,1.47647241211298
1591,Ace2,X,54.3686335682191,49.5869177314295,58.0497370146742,56.2999959823477,60.2878081141998,7.2211575790691,4.25950226499033,10.8526321085974,6.63348031230425,9.15412895510048
1617,Acot9,X,12.2400588661436,16.787237773661,12.4106334307234,12.1586845783474,15.9297053960284,1.37545858648935,1.21700064714009,2.95980875689019,2.84292013384468,2.06706137695817
1636,Acsl4,X,1664.07870073198,1530.22128936833,1613.78268900794,1599.65997974257,1494.69651092888,295.723596095211,265.306141076541,251.254876696012,186.685088789134,206.410843213395
1673,Actrt1,X,0,0,0,0,0,0,0,0,0,0
1777,Adgrg2,X,0,0.258265196517862,0,0,0,0,0,0,0,0
1835,Aff2,X,0,0,0,0,0,0,0,0,0,0
1878,Agtr2,X,0,0,0,0,0,0,0,0,0,0
1917,Aifm1,X,2.84652531770781,3.61571275125007,3.60308712504874,0,0.490144781416259,1.71932323311169,0.912750485355071,1.31547055861786,0.315880014871631,0.295294482422596
1943,Akap14,X,0,0,0,0,0,0,0,0,0,0
1944,Akap17b,X,0.853957595312342,0.774795589553586,2.40205808336583,1.58591537978444,1.22536195354065,0.687729293244676,0.912750485355071,0,1.26352005948652,0.590588964845192
1946,Akap4,X,0,0,0,0,0,0,0,0,0,0
1982,Alas2,X,0,0,0.400343013894305,0,0,0,0,0,0,0
2013,Alg13,X,13.0940164614559,5.94009951991083,8.4072032917804,7.92957689892221,9.06767845620078,2.06318787973403,1.21700064714009,1.31547055861786,0.315880014871631,0.295294482422596
2058,Amelx,X,0,0,0,0,0,0,0,0,0,0
