"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","num_reads_mat_mouse_1","num_reads_mat_mouse_2","num_reads_mat_mouse_4","num_reads_mat_mouse_7","num_reads_mat_mouse_8","num_reads_pat_mouse_1","num_reads_pat_mouse_2","num_reads_pat_mouse_4","num_reads_pat_mouse_7","num_reads_pat_mouse_8","total_reads_mouse_1","total_reads_mouse_2","total_reads_mouse_4","total_reads_mouse_7","total_reads_mouse_8","pct_xi_mouse_1","pct_xi_mouse_2","pct_xi_mouse_4","pct_xi_mouse_7","pct_xi_mouse_8","corrected_pct_xi_mouse_1","corrected_pct_xi_mouse_2","corrected_pct_xi_mouse_4","corrected_pct_xi_mouse_7","corrected_pct_xi_mouse_8","lower_confidence_interval_mouse_1","lower_confidence_interval_mouse_2","lower_confidence_interval_mouse_4","lower_confidence_interval_mouse_7","lower_confidence_interval_mouse_8","upper_confidence_interval_mouse_1","upper_confidence_interval_mouse_2","upper_confidence_interval_mouse_4","upper_confidence_interval_mouse_7","upper_confidence_interval_mouse_8"
"1810030O07Rik","ENSMUSG00000044148","MGP_CASTEiJ_G0034547","X","X",100,110,67,105,122,28,21,14,9,6,128,131,81,114,128,0.21875,0.16030534351145,0.172839506172839,0.0789473684210526,0.046875,0.296443334937517,0.217976734601763,0.172311726841966,0.114753201577191,0.0689128205306456,0.217327486066304,0.147275442441169,0.0900692085645255,0.0562458750985207,0.0250306306514431,0.37555918380873,0.288678026762358,0.254554245119407,0.173260528055862,0.112795010409848
"2610002M06Rik","ENSMUSG00000031242","MGP_CASTEiJ_G0034979","X","X",31,49,41,45,28,14,21,8,12,10,45,70,49,57,38,0.311111111111111,0.3,0.163265306122449,0.210526315789474,0.263157894736842,0.404618788106654,0.38489176282485,0.16276100967174,0.287388221403406,0.349583945876414,0.261214407017048,0.270907695274269,0.0594016140242762,0.169906136891469,0.197974011790656,0.548023169196261,0.498875830375432,0.266120405319204,0.404870305915344,0.501193879962171
"5530601H04Rik","ENSMUSG00000087174","MGP_CASTEiJ_G0015101","X","X",23,20,16,18,16,32,25,33,24,16,55,45,49,42,32,0.581818181818182,0.555555555555556,0.673469387755102,0.571428571428571,0.5,0.676758557406549,0.646023492941873,0.672656061630453,0.668483718932476,0.600788329622978,0.553150397192382,0.506305219687111,0.541270169989832,0.52611279811534,0.431106452415674,0.800366717620716,0.785741766196635,0.804041953271075,0.810854639749613,0.770470206830281
"Abcb7","ENSMUSG00000031333","MGP_CASTEiJ_G0034953","X","X",87,103,85,114,116,15,12,8,6,8,102,115,93,120,124,0.147058823529412,0.104347826086957,0.0860215053763441,0.05,0.0645161290322581,0.206003715713546,0.145373210794872,0.0857313548092937,0.0737279556536057,0.0940295366025547,0.127517251071408,0.0809518916999492,0.0288312098042239,0.0269713643397598,0.0426575434693005,0.284490180355683,0.209794529889795,0.142631499814364,0.120484546967452,0.145401529735809
"Abcd1","ENSMUSG00000031378","MGP_CASTEiJ_G0034779","X","X",62,63,37,104,70,26,32,28,2,5,88,95,65,106,75,0.295454545454545,0.336842105263158,0.430769230769231,0.0188679245283019,0.0666666666666667,0.38689935673043,0.425817350275915,0.429863151184927,0.0282613794325466,0.0970617816828795,0.285140634569915,0.326386077762763,0.30951315600174,-0.00328623817911575,0.030062429016959,0.488658078890945,0.525248622789066,0.550213146368113,0.0598089970442089,0.1640611343488
"Ace2","ENSMUSG00000015405","MGP_CASTEiJ_G0035210","X","X",191,192,145,213,246,21,14,33,21,31,212,206,178,234,277,0.0990566037735849,0.0679611650485437,0.185393258426966,0.0897435897435897,0.111913357400722,0.141963379271024,0.096217605201983,0.184835711222705,0.129756134123629,0.159414166358032,0.0949824895904197,0.0559483412896954,0.127812246133179,0.086701034679155,0.116305687744609,0.188944268951628,0.136486869114271,0.241859176312231,0.172811233568103,0.202522644971455
"Acot9","ENSMUSG00000025287","MGP_CASTEiJ_G0035169","X","X",43,65,31,46,65,4,4,9,9,7,47,69,40,55,72,0.0851063829787234,0.0579710144927536,0.225,0.163636363636364,0.0972222222222222,0.122794138892367,0.0824412163571806,0.224356145948227,0.228330224617309,0.139466727185547,0.0289647811950353,0.0175459992697283,0.0950800409408842,0.117396347099617,0.0594462786898193,0.216623496589699,0.147336433444633,0.35363225095557,0.339264102135002,0.219487175681276
"Acsl4","ENSMUSG00000031278","MGP_CASTEiJ_G0035117","X","X",5846,5925,4031,6052,6099,860,872,764,591,699,6706,6797,4795,6643,6798,0.128243364151506,0.128291893482419,0.159332638164755,0.0889658286918561,0.102824360105914,0.181249151001995,0.176872093150583,0.158838183069229,0.128680626841985,0.147106425853062,0.172029166551491,0.167801143073533,0.148492217809719,0.120628488387041,0.138686257904761,0.1904691354525,0.185943043227632,0.169184148328739,0.136732765296929,0.155526593801364
"Aifm1","ENSMUSG00000036932","MGP_CASTEiJ_G0034657","X","X",10,14,9,0,2,5,3,4,1,1,15,17,13,1,3,0.333333333333333,0.176470588235294,0.307692307692308,1,0.333333333333333,0.429357297950769,0.238307101633035,0.306905530735788,1,0.429376299771066,0.178865205954163,0.0357804997536799,0.0561936071814152,1,-0.130744114066481,0.679849389947374,0.44083370351239,0.557617454290161,1,0.989496713608612
"Alg13","ENSMUSG00000041718","MGP_CASTEiJ_G0035125","X","X",46,23,21,30,37,6,4,4,1,1,52,27,25,31,38,0.115384615384615,0.148148148148148,0.16,0.032258064516129,0.0263157894736842,0.16407591491077,0.202500624207067,0.159503866832226,0.0479917612094186,0.0390842555568238,0.0634169973738862,0.0509196939649106,0.0159775452263848,-0.0272520771057797,-0.0225326479490077,0.264734832447655,0.354081554449223,0.303030188438068,0.123235599524617,0.100701159062655
"Amer1","ENSMUSG00000050332","MGP_CASTEiJ_G0034881","X","X",123,98,74,82,124,25,17,32,29,38,148,115,106,111,162,0.168918918918919,0.147826086956522,0.30188679245283,0.261261261261261,0.234567901234568,0.234219800771595,0.202088436478304,0.301108403809964,0.348470211134596,0.315626448149947,0.165988900243745,0.12869667991183,0.213778796783286,0.259828818741425,0.24405762324291,0.302450701299444,0.275480193044778,0.388438010836642,0.437111603527766,0.387195273056983
