"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","female_mean_rpkm","male_mean_rpkm","female_xi_mean_srpm","female_xa_mean_srpm","male_xa_mean_srpm","male_xi_mean_srpm","female_mean_srpm_xi_over_xa_ratio","female_mean_rpkm_gt_1","male_mean_rpkm_gt_1","female_xi_mean_srpm_gte_2"
"1810030O07Rik","ENSMUSG00000044148","MGP_CASTEiJ_G0034547","X","X",14.0287438914032,12.7181231026827,68.7380546812495,279.011306173756,288.277003766749,23.0729930901897,0.246362972253327,1,1,1
"2610002M06Rik","ENSMUSG00000031242","MGP_CASTEiJ_G0034979","X","X",2.88664270778366,2.13498358886293,46.1138518652397,126.320196840704,93.7868414120901,33.7168780610385,0.365055256550871,1,1,1
"5530601H04Rik","ENSMUSG00000087174","MGP_CASTEiJ_G0015101","X","X",1.76137008739402,1.16523711791281,98.2076340024068,60.3970345670508,43.3968011695122,61.5279815738393,1.62603403803509,1,1,1
"Abcb7","ENSMUSG00000031333","MGP_CASTEiJ_G0034953","X","X",5.46010265555134,5.31263306039923,38.1326815716244,284.671526901156,292.819382587866,21.2877699416976,0.13395326883136,1,1,1
"Abcd1","ENSMUSG00000031378","MGP_CASTEiJ_G0034779","X","X",6.09254477238837,5.57666826116196,92.9483747090263,162.451102149494,223.232975040872,10.5409584670379,0.572162167440954,1,1,1
"Ace2","ENSMUSG00000015405","MGP_CASTEiJ_G0035210","X","X",16.3344050904221,17.5945342907555,74.4436758721306,540.056643629548,582.9698543111,78.9365257071199,0.137844199771006,1,1,1
"Acot9","ENSMUSG00000025287","MGP_CASTEiJ_G0035169","X","X",6.89416698999956,7.26179817427368,18.5074003732326,138.136215918648,140.449418248354,24.5494367272492,0.133979349659702,1,1,1
"Acsl4","ENSMUSG00000031278","MGP_CASTEiJ_G0035117","X","X",350.133363160546,326.003944876413,2707.58976159141,16028.0938240657,15472.5978227364,1965.44185555892,0.168927745951053,1,1,1
"Aifm1","ENSMUSG00000036932","MGP_CASTEiJ_G0034657","X","X",1.16604748110815,0.13746065975732,13.1583647045673,33.5534973886251,2.45086025194844,3.05581377792979,0.39216075010494,1,0,1
"Alg13","ENSMUSG00000041718","MGP_CASTEiJ_G0035125","X","X",1.84442571242876,1.55047115572149,15.3187245345925,91.4776527170356,84.9907799175872,3.05581377792979,0.167458653338836,1,1,1
"Amer1","ENSMUSG00000050332","MGP_CASTEiJ_G0034881","X","X",4.47863079368775,4.26036658648792,80.9747442850744,299.847026387259,260.329633988683,101.906592293499,0.270053517824432,1,1,1
"Ammecr1","ENSMUSG00000042225","MGP_CASTEiJ_G0035119","X","X",1.37562234744979,1.51753364781957,7.69143822685603,66.9036835877186,60.9377511301265,21.3906964455085,0.114962851287129,1,1,1
"Amot","ENSMUSG00000041688","MGP_CASTEiJ_G0035129","X","X",0.694240263902165,1.20742727576059,6.56314437250379,53.2333029360634,93.3763267009192,10.6438849708488,0.123290196371744,0,1,1
"Ap1s2","ENSMUSG00000031367","MGP_CASTEiJ_G0035205","X","X",4.4157714489139,3.02016144296876,48.9128177913834,170.090091315363,117.647406101063,32.1375079201682,0.287570060155323,1,1,1
"Apln","ENSMUSG00000037010","MGP_CASTEiJ_G0034650","X","X",1.24273950928618,0.358718455831994,12.0442338464661,27.1412489884137,11.3175672814994,0,0.443761223059691,1,0,1
"Araf","ENSMUSG00000001127","MGP_CASTEiJ_G0034576","X","X",11.6932888604989,9.07906736200087,99.8256156149927,666.049122415962,536.929728791152,57.7516822692332,0.149877257180213,1,1,1
"Arhgap4","ENSMUSG00000031389","MGP_CASTEiJ_G0034786","X","X",1.33465871340438,1.47535211974421,23.2421944124828,84.9318943089422,111.783365104727,7.7939242005408,0.273656847072534,1,1,1
"Arhgap6","ENSMUSG00000031355","MGP_CASTEiJ_G0035233","X","X",2.46504388241857,2.00503228877507,69.5880779287567,298.706166111849,261.631823657243,42.2667603719625,0.232964986409755,1,1,1
"Arhgef6","ENSMUSG00000031133","MGP_CASTEiJ_G0034712","X","X",4.99492380504728,4.92344356602624,105.406682934692,304.151237120783,335.760610025355,65.8543859812067,0.346560099286507,1,1,1
"Armcx1","ENSMUSG00000033460","MGP_CASTEiJ_G0035039","X","X",6.37186375039077,6.4192087526633,81.0220316716063,125.524677892916,162.821443177817,45.5284271575141,0.645466955435849,1,1,1
"Armcx2","ENSMUSG00000033436","MGP_CASTEiJ_G0035042","X","X",0.475918223743276,1.39284767694486,7.65936226729625,13.9123207527033,40.3685486221008,22.7642135787571,0.550545261530716,0,1,1
"Armcx3","ENSMUSG00000049047","MGP_CASTEiJ_G0035041","X","X",6.51132898086702,8.77240092531911,120.17552931773,110.013862603253,154.602773978777,155.502250579279,1.09236714786684,1,1,1
"Armcx5","ENSMUSG00000072969","MGP_CASTEiJ_G0035055","X","X",1.67052644002326,1.24432505242004,7.79141607259327,62.9476521046335,49.5239517993833,3.15874028174068,0.123776118919291,1,1,1
"Armcx6","ENSMUSG00000050394","MGP_CASTEiJ_G0035040","X","X",0.498727231657429,1.08389782366365,7.31318977427377,4.77834081345499,12.4467653582298,13.6996987487785,1.53048726739647,0,1,1
"Asb11","ENSMUSG00000031382","MGP_CASTEiJ_G0035215","X","X",1.00469845003138,0.558121885025205,4.1386769318846,24.4736812274566,12.7354615059613,3.15874028174068,0.169107250087146,1,0,1
"Atp11c","ENSMUSG00000062949","MGP_CASTEiJ_G0034721","X","X",4.31069427246257,3.44989241337273,25.0384687861766,290.11981377181,221.667675738775,30.5581377792979,0.0863038910050809,1,1,1
"Atp6ap1","ENSMUSG00000019087","MGP_CASTEiJ_G0034801","X","X",1.66721651398433,0.342030572411683,9.93386293930958,40.5161087738562,8.77047498030718,1.57937014087034,0.245183045458689,1,0,1
"Atp6ap2","ENSMUSG00000031007","MGP_CASTEiJ_G0034546","X","X",81.209459568175,80.5521381914921,120.568989197284,1778.74660269476,1743.2185135288,143.417394555078,0.0677831170637937,1,1,1
"Atp7a","ENSMUSG00000033792","MGP_CASTEiJ_G0034965","X","X",3.59854489416826,3.38932125940155,74.8475487808779,239.284867637164,257.18567688537,38.6608414912714,0.312796832996443,1,1,1
