"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","rpm_mouse_1_female_mat_bl6","rpm_mouse_2_female_mat_bl6","rpm_mouse_4_female_mat_bl6","rpm_mouse_7_male_mat_bl6","rpm_mouse_8_male_mat_bl6","rpm_mouse_1_female_pat_cast","rpm_mouse_2_female_pat_cast","rpm_mouse_4_female_pat_cast","rpm_mouse_7_male_pat_cast","rpm_mouse_8_male_pat_cast"
"1600025M17Rik","ENSMUSG00000085114","X","MGP_CASTEiJ_G0007360","X",0,0,0,0,0,0,0,0,0,0
"1700003E24Rik","ENSMUSG00000095110","X","MGP_CASTEiJ_G0007372","X",0,0,0,0,0,0,0,0,0,0
"1700010D01Rik","ENSMUSG00000071721","X","MGP_CASTEiJ_G0007371","X",0,0,0,0,0,0,0,0,0,0
"1700011M02Rik","ENSMUSG00000079476","X","MGP_CASTEiJ_G0034943","X",0,0,0,0,0,0,0,0,0,0
"1700013H16Rik","ENSMUSG00000054727","X","MGP_CASTEiJ_G0034695","X",0,0,0.800752707545092,0,0.245086025194843,0,0,0,0,0
"1700036O09Rik","ENSMUSG00000086185","X","MGP_CASTEiJ_G0007363","X",0,0,0,0,0,0,0,0,0,0
"1700084M14Rik","ENSMUSG00000057805","X","MGP_CASTEiJ_G0034892","X",0,0,0,0,0,0,0,0,0,0
"1810030O07Rik","ENSMUSG00000044148","X","MGP_CASTEiJ_G0034547","X",28.4672141671077,28.4109619822586,26.8252157027606,27.7549056795789,29.9004950737709,9.62813726835303,6.38916397789349,4.60411515812834,2.84286625356661,1.77173236447133
"2010106E10Rik","ENSMUSG00000025528","X","MGP_CASTEiJ_G0034997","X",0,0,0,0,0,0,0,0,0,0
"2010204K13Rik","ENSMUSG00000063018","X","MGP_CASTEiJ_G0015081","X",0,0,0,0.264332435043608,0,0,0,0,0,0
"2010308F09Rik","ENSMUSG00000100714","X","MGP_CASTEiJ_G0007348","X",0,0,0,0,0,0,0,0,0,0
"2610002M06Rik","ENSMUSG00000031242","X","MGP_CASTEiJ_G0034979","X",8.82483639180338,12.6557921557334,16.4154305046744,11.8949595769624,6.86240870545562,4.81406863417652,6.38916397789349,2.63092294750191,3.79048833808882,2.95288727411889
"3010001F23Rik","ENSMUSG00000084885","X","MGP_CASTEiJ_G0015112","X",0,0,0,0,0,0,0,0,0,0
"4921511C20Rik","ENSMUSG00000049815","X","MGP_CASTEiJ_G0035015","X",0,0,0,0,0,0,0,0,0,0
"4930402K13Rik","ENSMUSG00000045797","X","MGP_CASTEiJ_G0034531","X",0,0,0,0,0,0,0,0,0,0
"4930415L06Rik","ENSMUSG00000035387","X","MGP_CASTEiJ_G0034861","X",0,0,0,0,0,0,0,0,0,0
"4930447F04Rik","ENSMUSG00000031182","X","MGP_CASTEiJ_G0034732","X",0,0,0,0,0,0,0,0,0,0
"4930453H23Rik","ENSMUSG00000087358","X","MGP_CASTEiJ_G0007352","X",0,0,0,0,0,0,0,0,0,0
"4930480E11Rik","ENSMUSG00000035651","X","MGP_CASTEiJ_G0034843","X",0,0,0,0,0,0,0,0,0,0
"4930513O06Rik","ENSMUSG00000031270","X","MGP_CASTEiJ_G0035087","X",0,0,0,0,0,0,0,0,0,0
"4930515L19Rik","ENSMUSG00000085157","X","MGP_CASTEiJ_G0004588","X",0,0,0,0,0,0,0,0,0,0
"4930555B12Rik","ENSMUSG00000085619","X","MGP_CASTEiJ_G0007382","X",0,0,0,0,0,0,0,0,0,0
"4930558G05Rik","ENSMUSG00000086244","X","MGP_CASTEiJ_G0007385","X",0,0,0,0,0,0,0,0,0,0
"4930567H17Rik","ENSMUSG00000073141","X","MGP_CASTEiJ_G0034744","X",0,0,0,0,0,0,0,0,0,0
"4930570D08Rik","ENSMUSG00000084875","X","MGP_CASTEiJ_G0015103","X",0,0,0,0,0,0,0,0,0,0
"4930595M18Rik","ENSMUSG00000060673","X","MGP_CASTEiJ_G0034849","X",0,0,0,0,0,0,0,0,0,0
"4931400O07Rik","ENSMUSG00000031194","X","MGP_CASTEiJ_G0034727","X",0,0,0,0,0,0,0,0,0,0
"4932411N23Rik","ENSMUSG00000058670","X","MGP_CASTEiJ_G0035013","X",0,0,0,0,0,0,0,0,0,0
"4932429P05Rik","ENSMUSG00000079513","X","MGP_CASTEiJ_G0034860","X",0,0,0,0,0,0,0,0,0,0
"4933400A11Rik","ENSMUSG00000055357","X","MGP_CASTEiJ_G0035236","X",0,0,0,0,0,0,0,0,0,0
"4933403O08Rik","ENSMUSG00000079460","X","MGP_CASTEiJ_G0034994","X",0,0,0,0,0,0,0,0,0,0
"4933428M09Rik","ENSMUSG00000042525","X","MGP_CASTEiJ_G0035088","X",0,0,0,0.264332435043608,0,0,0,0,0,0
"4933436I01Rik","ENSMUSG00000025288","X","MGP_CASTEiJ_G0034734","X",0,0,0,0,0,0,0,0,0,0
"5330434G04Rik","ENSMUSG00000087620","X","MGP_CASTEiJ_G0007380","X",0,0,0,0,0,0,0,0,0,0
"5530601H04Rik","ENSMUSG00000087174","X","MGP_CASTEiJ_G0015101","X",6.54745925843476,5.16562945131975,6.40602166036074,4.75798383078495,3.92137640311749,11.0035854495463,7.60614759273035,10.8525571584454,7.58097667617763,4.72461963859022
"5730405O15Rik","ENSMUSG00000087424","X","MGP_CASTEiJ_G0015086","X",0,0,0.400376353772546,0,0,1.03158613589497,0.912737711127642,0.328865368437738,0.315874028174068,1.18115490964756
"5730412P04Rik","ENSMUSG00000087553","X","MGP_CASTEiJ_G0015109","X",0,0,0,0,0.245086025194843,0,0,0.328865368437738,0,0
"6030498E09Rik","ENSMUSG00000051361","X","MGP_CASTEiJ_G0034633","X",0,0,0,0,0,0,0,0,0,0
"8030474K03Rik","ENSMUSG00000046774","X","MGP_CASTEiJ_G0034930","X",1.70803285002646,0,0,0,0,0.343862045298323,0,0,0,0
"9530051G07Rik","ENSMUSG00000085982","X","MGP_CASTEiJ_G0015113","X",0,0.258281472565988,0.400376353772546,0.264332435043608,0.245086025194843,0,0,0,0,0
"A230072C01Rik","ENSMUSG00000086877","X","MGP_CASTEiJ_G0015088","X",3.700737841724,2.84109619822586,3.60338718395292,1.05732974017443,2.20577422675359,0,0,0,0.315874028174068,0
"A230072E10Rik","ENSMUSG00000084771","X","MGP_CASTEiJ_G0004613","X",1.70803285002646,0.774844417697963,0.800752707545092,0.264332435043608,1.22543012597422,1.03158613589497,0.304245903709214,0.657730736875476,1.26349611269627,0.295288727411889
"A630012P03Rik","ENSMUSG00000055110","X","MGP_CASTEiJ_G0004591","X",0,0,0,0,0,0,0,0,0,0
"Abcb7","ENSMUSG00000031333","X","MGP_CASTEiJ_G0034953","X",24.7664763253837,26.6029916742967,34.0319900706664,30.1338975949713,28.4299789226018,5.15793067947484,3.65095084451057,2.63092294750191,1.89524416904441,2.36230981929511
"Abcd1","ENSMUSG00000031378","X","MGP_CASTEiJ_G0034779","X",17.6496727836068,16.2717327716572,14.8139250895842,27.4905732445353,17.156021763639,8.94041317775639,9.73586891869484,9.20823031625667,0.631748056348136,1.47644363705944
"Ace2","ENSMUSG00000015405","X","MGP_CASTEiJ_G0035210","X",54.3723790591756,49.5900427326696,58.0545712970192,56.3028086642886,60.2911621979315,7.22110295126478,4.259442651929,10.8525571584454,6.63335459165543,9.15395054976855
"Acot9","ENSMUSG00000025287","X","MGP_CASTEiJ_G0035169","X",12.2409020918563,16.7882957167892,12.4116669669489,12.159292012006,15.9305916376648,1.37544818119329,1.21698361483686,2.95978831593964,2.84286625356661,2.06702109188322
"Acsl4","ENSMUSG00000031278","X","MGP_CASTEiJ_G0035117","X",1664.19334020911,1530.31772495348,1613.91708205713,1599.73989688392,1494.77966766335,295.721358956557,265.302428034435,251.253141486432,186.681550650874,206.40682046091
"Actrt1","ENSMUSG00000046615","X","MGP_CASTEiJ_G0034647","X",0,0,0,0,0,0,0,0,0,0
"Adgrg2","ENSMUSG00000031298","X","MGP_CASTEiJ_G0035188","X",0,0.258281472565988,0,0,0,0,0,0,0,0
"Aff2","ENSMUSG00000031189","X","MGP_CASTEiJ_G0034739","X",0,0,0,0,0,0,0,0,0,0
"Agtr2","ENSMUSG00000068122","X","MGP_CASTEiJ_G0034587","X",0,0,0,0,0,0,0,0,0,0
"Aifm1","ENSMUSG00000036932","X","MGP_CASTEiJ_G0034657","X",2.84672141671077,3.61594061592383,3.60338718395292,0,0.490172050389687,1.71931022649161,0.912737711127642,1.31546147375095,0.315874028174068,0.295288727411889
"Akap14","ENSMUSG00000036551","X","MGP_CASTEiJ_G0034611","X",0,0,0,0,0,0,0,0,0,0
"Akap17b","ENSMUSG00000059708","X","MGP_CASTEiJ_G0034601","X",0.85401642501323,0.774844417697963,2.40225812263528,1.58599461026165,1.22543012597422,0.687724090596645,0.912737711127642,0,1.26349611269627,0.590577454823778
"Akap4","ENSMUSG00000050089","X","MGP_CASTEiJ_G0034490","X",0,0,0,0,0,0,0,0,0,0
"Alas2","ENSMUSG00000025270","X","MGP_CASTEiJ_G0035134","X",0,0,0.400376353772546,0,0,0,0,0,0,0
"Alg13","ENSMUSG00000041718","X","MGP_CASTEiJ_G0035125","X",13.0949185168695,5.94047386901772,8.40790342922347,7.92997305130825,9.0681829322092,2.06317227178994,1.21698361483686,1.31546147375095,0.315874028174068,0.295288727411889
"Amelx","ENSMUSG00000031354","X","MGP_CASTEiJ_G0035234","X",0,0,0,0,0,0,0,0,0,0
"Amer1","ENSMUSG00000050332","X","MGP_CASTEiJ_G0034881","X",35.0146734255424,25.3115843114668,29.6278501791684,21.6752596735759,30.3906671241606,8.59655113245807,5.17218036305664,10.5236917900076,9.16034681704797,11.2209716416518
