gene_id	gene_name	chromosome	count
MGP_CASTEiJ_G0014183		X	0
MGP_CASTEiJ_G0038365	Gm26182	X	0
MGP_CASTEiJ_G0007384	Gm14929	X	0
MGP_CASTEiJ_G0035010	Pabpc5	X	0
MGP_CASTEiJ_G0014184		X	0
MGP_CASTEiJ_G0014185		X	0
MGP_CASTEiJ_G0035011	Pcdh11x	X	0
MGP_CASTEiJ_G0014186		X	0
MGP_CASTEiJ_G0014187		X	0
MGP_CASTEiJ_G0014188		X	0
MGP_CASTEiJ_G0013759		X	0
MGP_CASTEiJ_G0013760		X	0
MGP_CASTEiJ_G0014190		X	0
MGP_CASTEiJ_G0014189		X	0
MGP_CASTEiJ_G0038366	Gm22590	X	0
MGP_CASTEiJ_G0014191		X	0
MGP_CASTEiJ_G0035709	Gm25825	X	0
MGP_CASTEiJ_G0014192		X	0
MGP_CASTEiJ_G0038367	Gm23277	X	0
MGP_CASTEiJ_G0014193		X	0
MGP_CASTEiJ_G0014194		X	0
MGP_CASTEiJ_G0014195		X	5
MGP_CASTEiJ_G0014196		X	0
MGP_CASTEiJ_G0008994	Gm22464	X	0
MGP_CASTEiJ_G0035012	Nap1l3	X	3
MGP_CASTEiJ_G0014197		X	0
MGP_CASTEiJ_G0014198		X	0
MGP_CASTEiJ_G0014199		X	0
MGP_CASTEiJ_G0014200		X	0
MGP_CASTEiJ_G0007350		X	0
MGP_CASTEiJ_G0035013	4932411N23Rik	X	0
MGP_CASTEiJ_G0038368	Gm23586	X	0
MGP_CASTEiJ_G0014201		X	0
MGP_CASTEiJ_G0014202		X	0
MGP_CASTEiJ_G0014203		X	0
MGP_CASTEiJ_G0035014	Gm382	X	0
MGP_CASTEiJ_G0037133	Gm22139	X	0
MGP_CASTEiJ_G0035015	4921511C20Rik	X	0
MGP_CASTEiJ_G0009629	Gm22636	X	0
MGP_CASTEiJ_G0035016	Cldn34c4	X	0
MGP_CASTEiJ_G0037134	Gm25061	X	0
MGP_CASTEiJ_G0014204		X	0
MGP_CASTEiJ_G0014205		X	0
MGP_CASTEiJ_G0002323		X	0
MGP_CASTEiJ_G0035017	Rbm31y	X	0
MGP_CASTEiJ_G0038518		X	0
MGP_CASTEiJ_G0002324		X	0
MGP_CASTEiJ_G0037135	Gm24522	X	0
MGP_CASTEiJ_G0007385	4930558G05Rik	X	0
MGP_CASTEiJ_G0038369	Gm26029	X	0
