"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","num_reads_mouse_1_female_mat_bl6","num_reads_mouse_2_female_mat_bl6","num_reads_mouse_4_female_mat_bl6","num_reads_mouse_7_male_mat_bl6","num_reads_mouse_8_male_mat_bl6","num_reads_mouse_1_female_pat_cast","num_reads_mouse_2_female_pat_cast","num_reads_mouse_4_female_pat_cast","num_reads_mouse_7_male_pat_cast","num_reads_mouse_8_male_pat_cast"
"0610006L08Rik","ENSMUSG00000108652","7","MGP_CASTEiJ_G0007037","7",0,0,0,0,0,0,0,0,0,0
"0610009B22Rik","ENSMUSG00000007777","11","MGP_CASTEiJ_G0017589","11",14,15,9,17,21,10,11,20,17,21
"0610009E02Rik","ENSMUSG00000086714","2","MGP_CASTEiJ_G0014716","2",0,0,0,0,0,0,0,0,0,0
"0610009L18Rik","ENSMUSG00000043644","11","MGP_CASTEiJ_G0018798","11",1,3,2,4,7,0,2,3,6,0
"0610010K14Rik","ENSMUSG00000020831","11","MGP_CASTEiJ_G0017895","11",10,3,2,2,2,0,6,4,3,7
"0610012D04Rik","ENSMUSG00000089755","17","MGP_CASTEiJ_G0003306","17",3,0,1,4,1,0,0,4,1,0
"0610012G03Rik","ENSMUSG00000107002","16","MGP_CASTEiJ_G0021984","16",18,9,13,11,15,0,0,0,0,0
"0610025J13Rik","ENSMUSG00000046683","4","MGP_CASTEiJ_G0003796","4",3,1,0,1,4,2,5,8,4,0
"0610030E20Rik","ENSMUSG00000058706","6","MGP_CASTEiJ_G0029960","6",126,120,77,119,151,121,111,94,145,157
"0610031O16Rik","ENSMUSG00000099146","3","MGP_CASTEiJ_G0003727","3",0,0,0,0,0,0,0,0,0,0
"0610033M10Rik","ENSMUSG00000108236","6","MGP_CASTEiJ_G0006792","6",0,0,1,0,5,0,0,0,0,0
"0610038B21Rik","ENSMUSG00000097882","8","MGP_CASTEiJ_G0004442","8",2,0,3,0,0,0,1,0,0,0
"0610039K10Rik","ENSMUSG00000058812","2","MGP_CASTEiJ_G0003570","2",2,11,7,6,4,5,5,5,9,2
"0610040B10Rik","ENSMUSG00000089889","5","MGP_CASTEiJ_G0004090","5",1,2,0,0,1,1,2,2,1,2
"0610040F04Rik","ENSMUSG00000087341","6","MGP_CASTEiJ_G0004206","6",0,0,0,0,0,0,0,0,1,0
"0610040J01Rik","ENSMUSG00000060512","5","MGP_CASTEiJ_G0028671","5",54,59,23,46,58,73,78,44,61,65
"0610043K17Rik","ENSMUSG00000087361","4","MGP_CASTEiJ_G0006326","4",0,0,0,0,0,1,0,0,0,0
"1110002E22Rik","ENSMUSG00000090066","3","MGP_CASTEiJ_G0027078","3",0,2,1,0,0,0,0,0,0,1
"1110002J07Rik","ENSMUSG00000097134","10","MGP_CASTEiJ_G0004987","10",0,0,0,1,1,0,0,0,0,0
"1110002L01Rik","ENSMUSG00000071456","12","MGP_CASTEiJ_G0003015","12",18,11,13,12,10,6,2,1,3,1
"1110002O04Rik","ENSMUSG00000102531","1","MGP_CASTEiJ_G0004666","1",0,0,0,0,0,0,0,0,0,0
"1110004F10Rik","ENSMUSG00000030663","7","MGP_CASTEiJ_G0031914","7",124,104,68,116,113,14,28,19,15,32
"1110006O24Rik","ENSMUSG00000107121","5","MGP_CASTEiJ_G0006610","5",1,1,0,0,2,3,4,2,0,3
"1110008E08Rik","ENSMUSG00000046119","16","MGP_CASTEiJ_G0005535","16",0,0,0,0,0,0,0,0,0,0
"1110015O18Rik","ENSMUSG00000098659","3","MGP_CASTEiJ_G0005966","3",0,0,0,0,0,0,0,0,0,0
"1110017D15Rik","ENSMUSG00000028441","4","MGP_CASTEiJ_G0027317","4",0,0,0,0,0,0,0,1,0,0
"1110020A21Rik","ENSMUSG00000097047","17","MGP_CASTEiJ_G0005616","17",9,6,3,14,10,6,4,3,3,5
"1110025L11Rik","ENSMUSG00000068073","16","MGP_CASTEiJ_G0022261","16",0,0,0,0,0,0,0,0,0,0
"1110028F11Rik","ENSMUSG00000085972","11","MGP_CASTEiJ_G0035749","11",0,0,0,0,0,0,0,0,0,0
"1110028F18Rik","ENSMUSG00000099139","8","MGP_CASTEiJ_G0007200","8",0,0,0,0,1,0,0,0,0,2
"1110032A03Rik","ENSMUSG00000037971","9","MGP_CASTEiJ_G0033795","9",125,142,76,134,132,69,82,44,66,63
"1110032F04Rik","ENSMUSG00000046999","3","MGP_CASTEiJ_G0026453","3",0,0,0,0,0,0,0,0,0,0
"1110035H17Rik","ENSMUSG00000099098","7","MGP_CASTEiJ_G0004302","7",10,13,12,5,9,6,17,11,8,10
"1110038B12Rik","ENSMUSG00000092203","17","MGP_CASTEiJ_G0014664","17",186,149,143,575,575,184,151,202,543,626
"1110038F14Rik","ENSMUSG00000063236","15","MGP_CASTEiJ_G0021276","15",186,207,125,181,170,166,193,177,180,160
"1110051M20Rik","ENSMUSG00000040591","2","MGP_CASTEiJ_G0025335","2",21,25,14,15,12,18,23,14,7,12
"1110059E24Rik","ENSMUSG00000035171","19","MGP_CASTEiJ_G0024181","19",47,46,36,53,53,52,58,57,38,52
"1110059G10Rik","ENSMUSG00000032551","9","MGP_CASTEiJ_G0034456","9",8,3,0,8,3,104,89,90,71,63
"1190005I06Rik","ENSMUSG00000043687","8","MGP_CASTEiJ_G0033214","8",0,0,0,0,0,0,0,0,0,0
"1190007I07Rik","ENSMUSG00000063320","10","MGP_CASTEiJ_G0016942","10",10,13,11,22,17,0,0,0,0,0
"1200007C13Rik","ENSMUSG00000087684","2","MGP_CASTEiJ_G0005933","2",18,16,9,18,8,5,5,3,4,1
"1300002E11Rik","ENSMUSG00000097290","16","MGP_CASTEiJ_G0005505","16",30,20,14,16,21,23,41,35,24,30
"1300017J02Rik","ENSMUSG00000033688","9","MGP_CASTEiJ_G0034192","9",0,0,1,2,0,0,0,0,1,0
"1500002C15Rik","ENSMUSG00000096221","4","MGP_CASTEiJ_G0003898","4",11,10,2,9,5,10,8,5,13,6
"1500002F19Rik","ENSMUSG00000097595","7","MGP_CASTEiJ_G0007110","7",0,1,0,1,0,0,2,0,1,0
"1500009C09Rik","ENSMUSG00000068099","15","MGP_CASTEiJ_G0021396","15",0,0,1,6,7,0,1,0,3,4
"1500009L16Rik","ENSMUSG00000087651","10","MGP_CASTEiJ_G0016921","10",0,0,0,0,0,1,4,0,2,1
"1500011B03Rik","ENSMUSG00000072694","5","MGP_CASTEiJ_G0029050","5",16,34,16,11,25,68,52,54,31,45
"1500012K07Rik","ENSMUSG00000097247","7","MGP_CASTEiJ_G0014994","7",0,0,0,0,0,0,0,0,0,0
"1500015A07Rik","ENSMUSG00000098702","18","MGP_CASTEiJ_G0003335","18",23,30,23,21,28,29,31,18,30,35
"1500015L24Rik","ENSMUSG00000094732","19","MGP_CASTEiJ_G0005673","19",0,2,0,0,0,0,0,0,3,2
"1500026H17Rik","ENSMUSG00000097383","10","MGP_CASTEiJ_G0005002","10",1,1,0,2,3,4,0,2,7,3
"1500035N22Rik","ENSMUSG00000059631","5","MGP_CASTEiJ_G0006434","5",0,0,0,0,0,1,0,0,0,0
"1520401A03Rik","ENSMUSG00000043747","17","MGP_CASTEiJ_G0022497","17",0,0,4,1,1,0,2,0,1,4
"1600002D24Rik","ENSMUSG00000117232","16","MGP_CASTEiJ_G0005541","16",1,0,0,0,1,0,0,0,0,0
"1600012H06Rik","ENSMUSG00000050088","17","MGP_CASTEiJ_G0022411","17",23,10,15,14,21,27,38,23,18,32
"1600012P17Rik","ENSMUSG00000047661","1","MGP_CASTEiJ_G0004869","1",0,0,0,0,0,0,0,0,0,0
"1600014C23Rik","ENSMUSG00000094690","17","MGP_CASTEiJ_G0023006","17",1,0,0,0,0,0,0,0,2,0
"1600017P15Rik","ENSMUSG00000102505","3","MGP_CASTEiJ_G0009392","3",0,0,0,0,0,0,0,0,0,0
"1600019K03Rik","ENSMUSG00000099429","16","MGP_CASTEiJ_G0005516","16",0,0,0,0,0,0,0,0,0,0
"1600020E01Rik","ENSMUSG00000097048","6","MGP_CASTEiJ_G0004182","6",23,16,18,14,18,54,41,50,29,37
"1600025M17Rik","ENSMUSG00000085114","X","MGP_CASTEiJ_G0007360","X",0,0,0,0,0,0,0,0,0,0
"1700001C19Rik","ENSMUSG00000047150","17","MGP_CASTEiJ_G0023050","17",0,0,0,0,0,0,0,0,0,1
"1700001D01Rik","ENSMUSG00000099419","8","MGP_CASTEiJ_G0007151","8",0,0,0,2,2,4,0,1,0,2
"1700001G01Rik","ENSMUSG00000087170","18","MGP_CASTEiJ_G0005630","18",0,0,0,0,0,0,0,0,0,0
"1700001G11Rik","ENSMUSG00000085984","14","MGP_CASTEiJ_G0014584","14",0,0,0,0,0,1,2,0,3,0
"1700001J04Rik","ENSMUSG00000086135","11","MGP_CASTEiJ_G0002987","11",0,0,0,0,0,0,0,0,0,0
"1700001K19Rik","ENSMUSG00000056508","12","MGP_CASTEiJ_G0019402","12",4,6,3,17,18,2,2,7,6,18
"1700001L05Rik","ENSMUSG00000075511","15","MGP_CASTEiJ_G0005471","15",8,9,3,14,19,2,3,1,2,1
"1700001L19Rik","ENSMUSG00000021534","13","MGP_CASTEiJ_G0019994","13",0,0,0,1,1,0,0,2,0,0
"1700001N15Rik","ENSMUSG00000106210","3","MGP_CASTEiJ_G0006192","3",0,0,0,0,0,0,0,0,0,0
