"gene_name","gene_id_mat","chromosome_mat","gene_id_pat","chromosome_pat","num_reads_mouse_1_female_mat_bl6","num_reads_mouse_2_female_mat_bl6","num_reads_mouse_4_female_mat_bl6","num_reads_mouse_7_male_mat_bl6","num_reads_mouse_8_male_mat_bl6","num_reads_mouse_1_female_pat_cast","num_reads_mouse_2_female_pat_cast","num_reads_mouse_4_female_pat_cast","num_reads_mouse_7_male_pat_cast","num_reads_mouse_8_male_pat_cast"
"1600025M17Rik","ENSMUSG00000085114","X","MGP_CASTEiJ_G0007360","X",0,0,0,0,0,0,0,0,0,0
"1700003E24Rik","ENSMUSG00000095110","X","MGP_CASTEiJ_G0007372","X",0,0,0,0,0,0,0,0,0,0
"1700010D01Rik","ENSMUSG00000071721","X","MGP_CASTEiJ_G0007371","X",0,0,0,0,0,0,0,0,0,0
"1700011M02Rik","ENSMUSG00000079476","X","MGP_CASTEiJ_G0034943","X",0,0,0,0,0,0,0,0,0,0
"1700013H16Rik","ENSMUSG00000054727","X","MGP_CASTEiJ_G0034695","X",0,0,2,0,1,0,0,0,0,0
"1700036O09Rik","ENSMUSG00000086185","X","MGP_CASTEiJ_G0007363","X",0,0,0,0,0,0,0,0,0,0
"1700084M14Rik","ENSMUSG00000057805","X","MGP_CASTEiJ_G0034892","X",0,0,0,0,0,0,0,0,0,0
"1810030O07Rik","ENSMUSG00000044148","X","MGP_CASTEiJ_G0034547","X",100,110,67,105,122,28,21,14,9,6
"2010106E10Rik","ENSMUSG00000025528","X","MGP_CASTEiJ_G0034997","X",0,0,0,0,0,0,0,0,0,0
"2010204K13Rik","ENSMUSG00000063018","X","MGP_CASTEiJ_G0015081","X",0,0,0,1,0,0,0,0,0,0
"2010308F09Rik","ENSMUSG00000100714","X","MGP_CASTEiJ_G0007348","X",0,0,0,0,0,0,0,0,0,0
"2610002M06Rik","ENSMUSG00000031242","X","MGP_CASTEiJ_G0034979","X",31,49,41,45,28,14,21,8,12,10
"3010001F23Rik","ENSMUSG00000084885","X","MGP_CASTEiJ_G0015112","X",0,0,0,0,0,0,0,0,0,0
"4921511C20Rik","ENSMUSG00000049815","X","MGP_CASTEiJ_G0035015","X",0,0,0,0,0,0,0,0,0,0
"4930402K13Rik","ENSMUSG00000045797","X","MGP_CASTEiJ_G0034531","X",0,0,0,0,0,0,0,0,0,0
"4930415L06Rik","ENSMUSG00000035387","X","MGP_CASTEiJ_G0034861","X",0,0,0,0,0,0,0,0,0,0
"4930447F04Rik","ENSMUSG00000031182","X","MGP_CASTEiJ_G0034732","X",0,0,0,0,0,0,0,0,0,0
"4930453H23Rik","ENSMUSG00000087358","X","MGP_CASTEiJ_G0007352","X",0,0,0,0,0,0,0,0,0,0
"4930480E11Rik","ENSMUSG00000035651","X","MGP_CASTEiJ_G0034843","X",0,0,0,0,0,0,0,0,0,0
"4930513O06Rik","ENSMUSG00000031270","X","MGP_CASTEiJ_G0035087","X",0,0,0,0,0,0,0,0,0,0
"4930515L19Rik","ENSMUSG00000085157","X","MGP_CASTEiJ_G0004588","X",0,0,0,0,0,0,0,0,0,0
"4930555B12Rik","ENSMUSG00000085619","X","MGP_CASTEiJ_G0007382","X",0,0,0,0,0,0,0,0,0,0
"4930558G05Rik","ENSMUSG00000086244","X","MGP_CASTEiJ_G0007385","X",0,0,0,0,0,0,0,0,0,0
"4930567H17Rik","ENSMUSG00000073141","X","MGP_CASTEiJ_G0034744","X",0,0,0,0,0,0,0,0,0,0
"4930570D08Rik","ENSMUSG00000084875","X","MGP_CASTEiJ_G0015103","X",0,0,0,0,0,0,0,0,0,0
"4930595M18Rik","ENSMUSG00000060673","X","MGP_CASTEiJ_G0034849","X",0,0,0,0,0,0,0,0,0,0
"4931400O07Rik","ENSMUSG00000031194","X","MGP_CASTEiJ_G0034727","X",0,0,0,0,0,0,0,0,0,0
"4932411N23Rik","ENSMUSG00000058670","X","MGP_CASTEiJ_G0035013","X",0,0,0,0,0,0,0,0,0,0
"4932429P05Rik","ENSMUSG00000079513","X","MGP_CASTEiJ_G0034860","X",0,0,0,0,0,0,0,0,0,0
"4933400A11Rik","ENSMUSG00000055357","X","MGP_CASTEiJ_G0035236","X",0,0,0,0,0,0,0,0,0,0
"4933403O08Rik","ENSMUSG00000079460","X","MGP_CASTEiJ_G0034994","X",0,0,0,0,0,0,0,0,0,0
"4933428M09Rik","ENSMUSG00000042525","X","MGP_CASTEiJ_G0035088","X",0,0,0,1,0,0,0,0,0,0
"4933436I01Rik","ENSMUSG00000025288","X","MGP_CASTEiJ_G0034734","X",0,0,0,0,0,0,0,0,0,0
"5330434G04Rik","ENSMUSG00000087620","X","MGP_CASTEiJ_G0007380","X",0,0,0,0,0,0,0,0,0,0
"5530601H04Rik","ENSMUSG00000087174","X","MGP_CASTEiJ_G0015101","X",23,20,16,18,16,32,25,33,24,16
"5730405O15Rik","ENSMUSG00000087424","X","MGP_CASTEiJ_G0015086","X",0,0,1,0,0,3,3,1,1,4
"5730412P04Rik","ENSMUSG00000087553","X","MGP_CASTEiJ_G0015109","X",0,0,0,0,1,0,0,1,0,0
"6030498E09Rik","ENSMUSG00000051361","X","MGP_CASTEiJ_G0034633","X",0,0,0,0,0,0,0,0,0,0
"8030474K03Rik","ENSMUSG00000046774","X","MGP_CASTEiJ_G0034930","X",6,0,0,0,0,1,0,0,0,0
"9530051G07Rik","ENSMUSG00000085982","X","MGP_CASTEiJ_G0015113","X",0,1,1,1,1,0,0,0,0,0
"A230072C01Rik","ENSMUSG00000086877","X","MGP_CASTEiJ_G0015088","X",13,11,9,4,9,0,0,0,1,0
"A230072E10Rik","ENSMUSG00000084771","X","MGP_CASTEiJ_G0004613","X",6,3,2,1,5,3,1,2,4,1
"A630012P03Rik","ENSMUSG00000055110","X","MGP_CASTEiJ_G0004591","X",0,0,0,0,0,0,0,0,0,0
"Abcb7","ENSMUSG00000031333","X","MGP_CASTEiJ_G0034953","X",87,103,85,114,116,15,12,8,6,8
"Abcd1","ENSMUSG00000031378","X","MGP_CASTEiJ_G0034779","X",62,63,37,104,70,26,32,28,2,5
"Ace2","ENSMUSG00000015405","X","MGP_CASTEiJ_G0035210","X",191,192,145,213,246,21,14,33,21,31
"Acot9","ENSMUSG00000025287","X","MGP_CASTEiJ_G0035169","X",43,65,31,46,65,4,4,9,9,7
"Acsl4","ENSMUSG00000031278","X","MGP_CASTEiJ_G0035117","X",5846,5925,4031,6052,6099,860,872,764,591,699
"Actrt1","ENSMUSG00000046615","X","MGP_CASTEiJ_G0034647","X",0,0,0,0,0,0,0,0,0,0
"Adgrg2","ENSMUSG00000031298","X","MGP_CASTEiJ_G0035188","X",0,1,0,0,0,0,0,0,0,0
"Aff2","ENSMUSG00000031189","X","MGP_CASTEiJ_G0034739","X",0,0,0,0,0,0,0,0,0,0
"Agtr2","ENSMUSG00000068122","X","MGP_CASTEiJ_G0034587","X",0,0,0,0,0,0,0,0,0,0
"Aifm1","ENSMUSG00000036932","X","MGP_CASTEiJ_G0034657","X",10,14,9,0,2,5,3,4,1,1
"Akap14","ENSMUSG00000036551","X","MGP_CASTEiJ_G0034611","X",0,0,0,0,0,0,0,0,0,0
"Akap17b","ENSMUSG00000059708","X","MGP_CASTEiJ_G0034601","X",3,3,6,6,5,2,3,0,4,2
"Akap4","ENSMUSG00000050089","X","MGP_CASTEiJ_G0034490","X",0,0,0,0,0,0,0,0,0,0
"Alas2","ENSMUSG00000025270","X","MGP_CASTEiJ_G0035134","X",0,0,1,0,0,0,0,0,0,0
"Alg13","ENSMUSG00000041718","X","MGP_CASTEiJ_G0035125","X",46,23,21,30,37,6,4,4,1,1
"Amelx","ENSMUSG00000031354","X","MGP_CASTEiJ_G0035234","X",0,0,0,0,0,0,0,0,0,0
"Amer1","ENSMUSG00000050332","X","MGP_CASTEiJ_G0034881","X",123,98,74,82,124,25,17,32,29,38
"Ammecr1","ENSMUSG00000042225","X","MGP_CASTEiJ_G0035119","X",27,34,9,22,26,2,1,4,7,7
"Amot","ENSMUSG00000041688","X","MGP_CASTEiJ_G0035129","X",14,34,8,28,46,3,2,1,3,4
"Ap1s2","ENSMUSG00000031367","X","MGP_CASTEiJ_G0035205","X",72,50,44,51,41,13,13,19,11,10
"Apln","ENSMUSG00000037010","X","MGP_CASTEiJ_G0034650","X",11,7,8,3,6,3,2,6,0,0
"Apoo","ENSMUSG00000079508","X","MGP_CASTEiJ_G0034875","X",19,18,14,31,17,0,0,0,0,0
"Apool","ENSMUSG00000025525","X","MGP_CASTEiJ_G0034995","X",24,19,12,9,18,0,0,0,0,1
"Ar","ENSMUSG00000046532","X","MGP_CASTEiJ_G0034895","X",0,1,0,0,0,0,1,0,0,0
"Araf","ENSMUSG00000001127","X","MGP_CASTEiJ_G0034576","X",207,237,199,193,230,32,32,28,16,22
"Arhgap36","ENSMUSG00000036198","X","MGP_CASTEiJ_G0034665","X",0,1,0,1,0,0,0,0,0,0
"Arhgap4","ENSMUSG00000031389","X","MGP_CASTEiJ_G0034786","X",21,29,30,41,47,11,4,6,4,1
"Arhgap6","ENSMUSG00000031355","X","MGP_CASTEiJ_G0035233","X",89,145,67,121,83,28,24,12,9,19
"Arhgef6","ENSMUSG00000031133","X","MGP_CASTEiJ_G0034712","X",100,133,71,140,123,34,32,31,23,20
"Arhgef9","ENSMUSG00000025656","X","MGP_CASTEiJ_G0034880","X",3,6,6,9,8,1,1,0,0,0
"Arl13a","ENSMUSG00000052549","X","MGP_CASTEiJ_G0035027","X",0,0,0,0,0,0,0,0,0,0
"Armcx1","ENSMUSG00000033460","X","MGP_CASTEiJ_G0035039","X",44,57,26,62,66,27,31,17,12,18
