"gene_name","gene_id_mat","gene_id_pat","chromosome_mat","chromosome_pat","exon_length_mat","exon_length_pat","rpkm_mouse_1_female_mat_bl6","rpkm_mouse_2_female_mat_bl6","rpkm_mouse_4_female_mat_bl6","rpkm_mouse_7_male_mat_bl6","rpkm_mouse_8_male_mat_bl6","rpkm_mouse_1_female_pat_cast","rpkm_mouse_2_female_pat_cast","rpkm_mouse_4_female_pat_cast","rpkm_mouse_7_male_pat_cast","rpkm_mouse_8_male_pat_cast"
"1600025M17Rik","ENSMUSG00000085114","MGP_CASTEiJ_G0007360","X","X",1071,1071,0,0,0,0,0,0,0,0,0,0
"1700003E24Rik","ENSMUSG00000095110","MGP_CASTEiJ_G0007372","X","X",611,577,0,0,0,0,0,0,0,0,0,0
"1700010D01Rik","ENSMUSG00000071721","MGP_CASTEiJ_G0007371","X","X",447,507,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik","ENSMUSG00000079476","MGP_CASTEiJ_G0034943","X","X",420,420,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik","ENSMUSG00000054727","MGP_CASTEiJ_G0034695","X","X",1224,1224,0,0,0.654209728386513,0,0.200233680714741,0,0,0,0,0
"1700036O09Rik","ENSMUSG00000086185","MGP_CASTEiJ_G0007363","X","X",349,349,0,0,0,0,0,0,0,0,0,0
"1700084M14Rik","ENSMUSG00000057805","MGP_CASTEiJ_G0034892","X","X",585,559,0,0,0,0,0,0,0,0,0,0
"1810030O07Rik","ENSMUSG00000044148","MGP_CASTEiJ_G0034547","X","X",2430,2699,11.714902949427,11.691753902164,11.0391834167739,11.4217718846004,12.3047304830333,3.56729798753354,2.36723378210207,1.70585963620909,1.05330353966899,0.656440298062738
"2010106E10Rik","ENSMUSG00000025528","MGP_CASTEiJ_G0034997","X","X",1210,1287,0,0,0,0,0,0,0,0,0,0
"2010204K13Rik","ENSMUSG00000063018","MGP_CASTEiJ_G0015081","X","X",1583,1583,0,0,0,0.166981955176,0,0,0,0,0,0
"2010308F09Rik","ENSMUSG00000100714","MGP_CASTEiJ_G0007348","X","X",703,704,0,0,0,0,0,0,0,0,0,0
"2610002M06Rik","ENSMUSG00000031242","MGP_CASTEiJ_G0034979","X","X",5851,6337,1.50826121890333,2.16301352858202,2.80557691072883,2.03297890565073,1.17286082814145,0.759676287545608,1.00823165186894,0.415168525722252,0.598151860200224,0.465975583733453
"3010001F23Rik","ENSMUSG00000084885","MGP_CASTEiJ_G0015112","X","X",901,1816,0,0,0,0,0,0,0,0,0,0
"4921511C20Rik","ENSMUSG00000049815","MGP_CASTEiJ_G0035015","X","X",1606,1606,0,0,0,0,0,0,0,0,0,0
"4930402K13Rik","ENSMUSG00000045797","MGP_CASTEiJ_G0034531","X","X",1782,1781,0,0,0,0,0,0,0,0,0,0
