"gene_id","gene_name","chromosome","locus","rpkm"
,"Xkr4",1,"chr1:3204562-3661579",0.116591
,"Rp1",1,"chr1:4280926-4399322",0.004213
,"Sox17",1,"chr1:4481008-4486494",2.31804
,"Mrpl15",1,"chr1:4763278-4775807",10.8333
,"Lypla1",1,"chr1:4797973-4836816",24.7671
,"Tcea1",1,"chr1:4847774-4887990",5.035215
,"Rgs20",1,"chr1:4899656-5060366",0.094697
,"Atp6v1h",1,"chr1:5073253-5152630",36.2513
,"Oprk1",1,"chr1:5578573-5596214",0
,"Npbwr1",1,"chr1:5903787-5907479",0
,"Rb1cc1",1,"chr1:6204742-6266185",9.48643
,"Fam150a",1,"chr1:6349411-6384812",0.046955
,"St18",1,"chr1:6477311-6851021",0.145259
,"Pcmtd1",1,"chr1:7079000-7163709",14.9425
,"Sntg1",1,"chr1:8352741-9289811",0.007712
,"Rrs1",1,"chr1:9535488-9537536",8.22145
,"Adhfe1",1,"chr1:9538126-9568049",0.681362
,"2610203C22Rik",1,"chr1:9550913-9621173",0.380689
,"3110035E14Rik",1,"chr1:9591347-9617223",0.149522
,"Mybl1",1,"chr1:9658915-9690290",4.39063
,"Vcpip1",1,"chr1:9713277-9738463",17.9034
,"1700034P13Rik",1,"chr1:9737728-9761337",0.43742
,"Sgk3",1,"chr1:9788210-9892649",11.47257
,"6030422M02Rik",1,"chr1:9898718-9931035",0.248774
,"Snhg6",1,"chr1:9932105-9934199",118.38
,"Snord87",1,"chr1:9932550-9932624",592.138
,"Ppp1r42",1,"chr1:9958706-9999211",0.114982
,"Cops5",1,"chr1:10014911-10027979",52.0081
,"Cspp1",1,"chr1:10028298-10126849",6.50129
,"Arfgef1",1,"chr1:10127587-10222751",22.6422
,"Cpa6",1,"chr1:10314807-10710024",0.16034
,"Prex2",1,"chr1:10983545-11293763",3.31304
,"A830018L16Rik",1,"chr1:11404185-11965983",0
,"4932411L15",1,"chr1:12657643-12663171",0
,"Sulf1",1,"chr1:12682510-12850453",6.741002
,"Slco5a1",1,"chr1:12856630-12981216",1.4594
,"Prdm14",1,"chr1:13103508-13117244",0.006437
