gene_id,gene_name,exon_length
MGP_CASTEiJ_G0035010,Pabpc5,2434
MGP_CASTEiJ_G0035011,Pcdh11x,12535
MGP_CASTEiJ_G0035012,Nap1l3,2836
MGP_CASTEiJ_G0035013,4932411N23Rik,3397
MGP_CASTEiJ_G0035014,Gm382,4070
MGP_CASTEiJ_G0035015,4921511C20Rik,1606
MGP_CASTEiJ_G0035016,Cldn34c4,814
MGP_CASTEiJ_G0035017,Rbm31y,1862
MGP_CASTEiJ_G0035018,Diaph2,11733
MGP_CASTEiJ_G0034487,Shroom4,8885
MGP_CASTEiJ_G0034556,Cypt1,676
MGP_CASTEiJ_G0034558,Maoa,3891
MGP_CASTEiJ_G0035019,Pcdh19,10462
MGP_CASTEiJ_G0035020,Tnmd,1353
MGP_CASTEiJ_G0035021,Tspan6,2060
MGP_CASTEiJ_G0035022,Srpx2,1915
MGP_CASTEiJ_G0035023,Sytl4,5123
MGP_CASTEiJ_G0035024,Cstf2,9162
MGP_CASTEiJ_G0035025,Nox1,3305
MGP_CASTEiJ_G0035026,Xkrx,3024
MGP_CASTEiJ_G0035027,Arl13a,1740
MGP_CASTEiJ_G0035028,Trmt2b,4648
MGP_CASTEiJ_G0035029,Tmem35a,1920
MGP_CASTEiJ_G0035030,Cenpi,5667
MGP_CASTEiJ_G0035031,Drp2,8402
MGP_CASTEiJ_G0034559,Maob,2656
MGP_CASTEiJ_G0035032,Taf7l,2249
MGP_CASTEiJ_G0035034,Timm8a1,1215
MGP_CASTEiJ_G0035035,Btk,3148
MGP_CASTEiJ_G0035036,Rpl36a,1656
MGP_CASTEiJ_G0035037,Gla,3274
MGP_CASTEiJ_G0035038,Armcx4,7996
MGP_CASTEiJ_G0035039,Armcx1,3251
MGP_CASTEiJ_G0035040,Armcx6,2336
MGP_CASTEiJ_G0035041,Armcx3,3530
MGP_CASTEiJ_G0035042,Armcx2,4533
MGP_CASTEiJ_G0035043,Nxf2,2568
MGP_CASTEiJ_G0035044,Zmat1,4332
MGP_CASTEiJ_G0035045,Tceal3,958
MGP_CASTEiJ_G0035050,Nxf7,2701
MGP_CASTEiJ_G0035051,Prame,2252
MGP_CASTEiJ_G0035052,Tcp11x2,1776
MGP_CASTEiJ_G0035055,Armcx5,4233
MGP_CASTEiJ_G0035054,Gprasp1,8057
MGP_CASTEiJ_G0035056,Gprasp2,3799
MGP_CASTEiJ_G0035057,Bhlhb9,2978
MGP_CASTEiJ_G0035060,Bex2,903
MGP_CASTEiJ_G0035061,Nxf3,3044
MGP_CASTEiJ_G0034560,Ndp,1941
MGP_CASTEiJ_G0035062,Tceal8,2562
MGP_CASTEiJ_G0035063,Tceal5,1044
MGP_CASTEiJ_G0035064,Bex1,1099
MGP_CASTEiJ_G0035065,Tceal7,1160
MGP_CASTEiJ_G0035066,Wbp5,1037
MGP_CASTEiJ_G0035067,Ngfrap1,670
MGP_CASTEiJ_G0035069,Tceal1,2816
MGP_CASTEiJ_G0035071,Glra4,2010
MGP_CASTEiJ_G0035072,Plp1,5392
MGP_CASTEiJ_G0035073,Rab9b,3882
MGP_CASTEiJ_G0035074,H2bfm,1052
MGP_CASTEiJ_G0035078,Slc25a53,7922
MGP_CASTEiJ_G0035079,Zcchc18,4883
MGP_CASTEiJ_G0035080,Vma21-ps,296
MGP_CASTEiJ_G0035081,Fam199x,8093
MGP_CASTEiJ_G0035082,Esx1,1985
MGP_CASTEiJ_G0035083,Il1rapl2,4672
MGP_CASTEiJ_G0035084,Tex13a,1317
MGP_CASTEiJ_G0034561,Efhc2,2496
MGP_CASTEiJ_G0000157,Ighv1-16,294
MGP_CASTEiJ_G0000158,Ighv1-24,351
MGP_CASTEiJ_G0035085,Nrk,9215
MGP_CASTEiJ_G0035086,Serpina7,2448
MGP_CASTEiJ_G0035087,4930513O06Rik,808
MGP_CASTEiJ_G0035088,4933428M09Rik,1026
MGP_CASTEiJ_G0035089,Mum1l1,4856
MGP_CASTEiJ_G0035090,Trap1a,1181
MGP_CASTEiJ_G0035091,D330045A20Rik,3735
MGP_CASTEiJ_G0035092,Rnf128,3465
MGP_CASTEiJ_G0035093,Tbc1d8b,5207
MGP_CASTEiJ_G0035095,Ripply1,808
MGP_CASTEiJ_G0035096,Cldn2,3343
MGP_CASTEiJ_G0035097,Morc4,9065
MGP_CASTEiJ_G0035098,Rbm41,6530
MGP_CASTEiJ_G0035099,Nup62cl,1698
MGP_CASTEiJ_G0035100,Pih1h3b,1509
MGP_CASTEiJ_G0035101,Frmpd3,8438
MGP_CASTEiJ_G0035102,Prps1,1993
MGP_CASTEiJ_G0035103,Tsc22d3,4036
MGP_CASTEiJ_G0035104,Mid2,8068
MGP_CASTEiJ_G0035105,Tex13,2794
MGP_CASTEiJ_G0035106,Vsig1,2718
MGP_CASTEiJ_G0035107,Psmd10,1404
MGP_CASTEiJ_G0035110,Col4a6,7969
MGP_CASTEiJ_G0035111,Col4a5,6719
MGP_CASTEiJ_G0035112,Irs4,6300
MGP_CASTEiJ_G0035114,Gucy2f,8125
MGP_CASTEiJ_G0035115,Nxt2,2799
MGP_CASTEiJ_G0035116,Kcne1l,1543
MGP_CASTEiJ_G0035117,Acsl4,5342
MGP_CASTEiJ_G0034562,Fundc1,840
MGP_CASTEiJ_G0035118,Tmem164,6688
MGP_CASTEiJ_G0035119,Ammecr1,5421
MGP_CASTEiJ_G0035120,Rgag1,4104
MGP_CASTEiJ_G0035121,Chrdl1,6760
MGP_CASTEiJ_G0035122,Pak3,9541
MGP_CASTEiJ_G0035123,Capn6,7773
MGP_CASTEiJ_G0035124,Dcx,12649
MGP_CASTEiJ_G0035125,Alg13,5644
MGP_CASTEiJ_G0035126,Trpc5,4987
MGP_CASTEiJ_G0035127,Zcchc16,3635
MGP_CASTEiJ_G0035128,Lhfpl1,1903
MGP_CASTEiJ_G0035129,Amot,8640
MGP_CASTEiJ_G0035130,Htr2c,9396
MGP_CASTEiJ_G0035131,Il13ra2,1793
MGP_CASTEiJ_G0035132,Lrch2,6485
MGP_CASTEiJ_G0034563,Dusp21,845
MGP_CASTEiJ_G0035133,Tmem29,7781
MGP_CASTEiJ_G0035134,Alas2,2403
MGP_CASTEiJ_G0035136,Pfkfb1,4025
MGP_CASTEiJ_G0035138,Maged2,3175
MGP_CASTEiJ_G0035139,Gnl3l,5404
MGP_CASTEiJ_G0035140,Fgd1,4931
MGP_CASTEiJ_G0035141,Tsr2,3810
MGP_CASTEiJ_G0035142,Wnk3,10532
MGP_CASTEiJ_G0035143,Fam120c,5823
MGP_CASTEiJ_G0035144,Phf8,9317
MGP_CASTEiJ_G0035145,Huwe1,23500
MGP_CASTEiJ_G0035146,Hsd17b10,1298
MGP_CASTEiJ_G0035147,Ribc1,1547
MGP_CASTEiJ_G0035148,Smc1a,5766
MGP_CASTEiJ_G0035149,Iqsec2,6980
MGP_CASTEiJ_G0035150,Kdm5c,7286
MGP_CASTEiJ_G0034565,4930578C19Rik,3498
MGP_CASTEiJ_G0035151,Tspyl2,2820
MGP_CASTEiJ_G0035152,Gpr173,5127
MGP_CASTEiJ_G0035153,Cldn34a,636
MGP_CASTEiJ_G0035154,Shroom2,8204
MGP_CASTEiJ_G0035155,Gpr143,1995
MGP_CASTEiJ_G0035156,Usp51,2204
MGP_CASTEiJ_G0035157,Mageh1,1410
MGP_CASTEiJ_G0035158,Foxr2,3217
MGP_CASTEiJ_G0035159,Rragb,2246
MGP_CASTEiJ_G0035160,Klf8,5192
MGP_CASTEiJ_G0035161,Ubqln2,3340
MGP_CASTEiJ_G0035162,Kctd12b,4859
MGP_CASTEiJ_G0035163,2210013O21Rik,1878
MGP_CASTEiJ_G0035164,Spin2c,1381
MGP_CASTEiJ_G0035165,4930524N10Rik,919
MGP_CASTEiJ_G0035166,Samt4,963
MGP_CASTEiJ_G0035168,Sat1,2773
MGP_CASTEiJ_G0035169,Acot9,2272
MGP_CASTEiJ_G0035170,Prdx4,2131
MGP_CASTEiJ_G0035171,Ptchd1,3029
MGP_CASTEiJ_G0034488,Dgkk,7671
MGP_CASTEiJ_G0035173,Phex,6322
MGP_CASTEiJ_G0035174,Sms,5997
MGP_CASTEiJ_G0035175,Mbtps2,10091
MGP_CASTEiJ_G0035176,Yy2,2866
MGP_CASTEiJ_G0035177,Smpx,2268
MGP_CASTEiJ_G0035178,Klhl34,1935
MGP_CASTEiJ_G0035179,Cnksr2,9353
MGP_CASTEiJ_G0035181,Rps6ka3,8326
MGP_CASTEiJ_G0035182,Eif1ax,5383
MGP_CASTEiJ_G0035183,Map7d2,4185
MGP_CASTEiJ_G0035184,A830080D01Rik,4897
MGP_CASTEiJ_G0035185,Sh3kbp1,10185
MGP_CASTEiJ_G0035186,Map3k15,4324
MGP_CASTEiJ_G0035187,Pdha1,3735
MGP_CASTEiJ_G0035188,Adgrg2,5278
MGP_CASTEiJ_G0035189,Phka2,6072
MGP_CASTEiJ_G0035190,Ppef1,3001
MGP_CASTEiJ_G0035191,Rs1,5834
MGP_CASTEiJ_G0035192,Cdkl5,14291
MGP_CASTEiJ_G0035193,Gja6,2016
MGP_CASTEiJ_G0035194,Scml2,5444
MGP_CASTEiJ_G0035195,Rai2,2401
MGP_CASTEiJ_G0035196,Nhs,9039
MGP_CASTEiJ_G0035197,Reps2,8313
MGP_CASTEiJ_G0035198,Rbbp7,2672
MGP_CASTEiJ_G0035199,Txlng,7429
MGP_CASTEiJ_G0035200,Syap1,2340
MGP_CASTEiJ_G0035201,Ctps2,4726
MGP_CASTEiJ_G0035202,S100g,480
MGP_CASTEiJ_G0035203,Grpr,2512
MGP_CASTEiJ_G0035204,Rnf138rt1,1192
MGP_CASTEiJ_G0035205,Ap1s2,4958
MGP_CASTEiJ_G0035206,Zrsr2,7154
MGP_CASTEiJ_G0035207,Car5b,6372
MGP_CASTEiJ_G0035209,Tmem27,1544
MGP_CASTEiJ_G0035210,Ace2,3762
MGP_CASTEiJ_G0035211,Bmx,3093
MGP_CASTEiJ_G0035212,Pir,5569
MGP_CASTEiJ_G0035213,Vegfd,2394
MGP_CASTEiJ_G0035214,Piga,6384
MGP_CASTEiJ_G0035215,Asb11,2848
MGP_CASTEiJ_G0035216,Asb9,1139
MGP_CASTEiJ_G0035217,Mospd2,7846
MGP_CASTEiJ_G0035218,Fancb,2983
MGP_CASTEiJ_G0035219,Glra2,3130
MGP_CASTEiJ_G0035220,Gemin8,2434
MGP_CASTEiJ_G0035221,Gpm6b,5595
MGP_CASTEiJ_G0035222,Ofd1,4460
MGP_CASTEiJ_G0035223,Trappc2,3675
MGP_CASTEiJ_G0035224,Rab9,1447
MGP_CASTEiJ_G0035225,Tceanc,4254
MGP_CASTEiJ_G0035226,Egfl6,2678
MGP_CASTEiJ_G0035227,Tmsb4x,1370
MGP_CASTEiJ_G0035228,Tlr8,3585
MGP_CASTEiJ_G0034566,Chst7,2217
MGP_CASTEiJ_G0035229,Tlr7,4082
MGP_CASTEiJ_G0035230,Prps2,3881
MGP_CASTEiJ_G0035231,Frmpd4,9627
MGP_CASTEiJ_G0034567,Slc9a7,8173
MGP_CASTEiJ_G0035232,Msl3,5675
MGP_CASTEiJ_G0035233,Arhgap6,15794
MGP_CASTEiJ_G0035234,Amelx,999
MGP_CASTEiJ_G0035235,Hccs,5160
MGP_CASTEiJ_G0035236,4933400A11Rik,1351
MGP_CASTEiJ_G0034568,Rp2,6716
MGP_CASTEiJ_G0034569,Jade3,5168
MGP_CASTEiJ_G0034489,Ccnb3,4566
MGP_CASTEiJ_G0034570,Rgn,1612
MGP_CASTEiJ_G0034571,Ndufb11,912
MGP_CASTEiJ_G0034572,Rbm10,3935
MGP_CASTEiJ_G0034573,Uba1,4794
MGP_CASTEiJ_G0034574,Cdk16,4381
MGP_CASTEiJ_G0034575,Usp11,4728
MGP_CASTEiJ_G0034576,Araf,6551
MGP_CASTEiJ_G0034577,Syn1,3299
MGP_CASTEiJ_G0034578,Timp1,888
MGP_CASTEiJ_G0034579,Cfp,1737
MGP_CASTEiJ_G0034580,Elk1,5381
MGP_CASTEiJ_G0034581,Uxt,1646
MGP_CASTEiJ_G0034582,Zfp182,5677
MGP_CASTEiJ_G0034583,Spaca5,640
MGP_CASTEiJ_G0034584,Zfp300,5336
MGP_CASTEiJ_G0034585,Ssxa1,375
MGP_CASTEiJ_G0034490,Akap4,3026
MGP_CASTEiJ_G0034587,Agtr2,3326
MGP_CASTEiJ_G0034588,Slc6a14,3434
MGP_CASTEiJ_G0034589,Gm28269,534
MGP_CASTEiJ_G0034491,Clcn5,11484
MGP_CASTEiJ_G0034590,Klhl13,3801
MGP_CASTEiJ_G0034592,Gm4907,1493
MGP_CASTEiJ_G0034593,Gm4985,1233
MGP_CASTEiJ_G0034492,Usp27x,4276
MGP_CASTEiJ_G0034594,Dock11,9241
MGP_CASTEiJ_G0034595,Il13ra1,3712
MGP_CASTEiJ_G0034596,Zcchc12,2280
MGP_CASTEiJ_G0034597,Lonrf3,3812
MGP_CASTEiJ_G0034599,Gm14569,5722
MGP_CASTEiJ_G0034600,Pgrmc1,1857
MGP_CASTEiJ_G0034601,Akap17b,5992
MGP_CASTEiJ_G0034602,Slc25a43,1780
MGP_CASTEiJ_G0034603,C330007P06Rik,7236
MGP_CASTEiJ_G0034604,Ube2a,1033
MGP_CASTEiJ_G0034605,Nkrf,3268
MGP_CASTEiJ_G0034606,Sept6,9883
MGP_CASTEiJ_G0034607,Sowahd,1574
MGP_CASTEiJ_G0034608,Rpl39,1435
MGP_CASTEiJ_G0034609,Upf3b,3997
MGP_CASTEiJ_G0034610,Nkap,4316
MGP_CASTEiJ_G0034611,Akap14,1792
MGP_CASTEiJ_G0034612,Ndufa1,419
MGP_CASTEiJ_G0034613,Rnf113a1,1223
MGP_CASTEiJ_G0034614,Gm9,817
MGP_CASTEiJ_G0034615,Rhox1,862
MGP_CASTEiJ_G0034493,Ppp1r3f,5178
MGP_CASTEiJ_G0034616,Rhox5,754
MGP_CASTEiJ_G0034618,Rhox6,1005
MGP_CASTEiJ_G0034619,Btg1-ps1,1514
MGP_CASTEiJ_G0034494,Foxp3,3991
MGP_CASTEiJ_G0034621,Rhox10,763
MGP_CASTEiJ_G0034622,Rhox11,811
MGP_CASTEiJ_G0034495,Ccdc22,3436
MGP_CASTEiJ_G0034623,Rhox12,1078
MGP_CASTEiJ_G0034624,Rhox13,867
MGP_CASTEiJ_G0034625,Zbtb33,5109
MGP_CASTEiJ_G0034626,Tmem255a,4486
MGP_CASTEiJ_G0034496,Cacna1f,9229
MGP_CASTEiJ_G0034627,Atp1b4,4203
MGP_CASTEiJ_G0034628,BC049702,862
MGP_CASTEiJ_G0034629,Lamp2,9578
MGP_CASTEiJ_G0034497,Syp,5226
MGP_CASTEiJ_G0034630,Cul4b,3992
MGP_CASTEiJ_G0034632,C1galt1c1,1476
MGP_CASTEiJ_G0034498,Prickle3,4890
MGP_CASTEiJ_G0034501,Magix,2913
MGP_CASTEiJ_G0034633,6030498E09Rik,520
MGP_CASTEiJ_G0034502,Gpkow,3258
MGP_CASTEiJ_G0034634,Cypt15,532
MGP_CASTEiJ_G0034635,Cypt14,527
MGP_CASTEiJ_G0034503,Wdr45,2723
MGP_CASTEiJ_G0034504,Praf2,1076
MGP_CASTEiJ_G0034505,Ccdc120,4185
MGP_CASTEiJ_G0034506,Tfe3,9174
MGP_CASTEiJ_G0034507,Gripap1,5508
MGP_CASTEiJ_G0034508,Kcnd1,5305
MGP_CASTEiJ_G0034509,Otud5,5195
MGP_CASTEiJ_G0034510,Pim2,2787
MGP_CASTEiJ_G0034511,Slc35a2,3090
MGP_CASTEiJ_G0034512,Pqbp1,1637
MGP_CASTEiJ_G0034636,Gria3,9784
MGP_CASTEiJ_G0034513,Timm17b,2561
MGP_CASTEiJ_G0034516,Pcsk1n,2195
MGP_CASTEiJ_G0034517,Eras,1055
MGP_CASTEiJ_G0034518,Hdac6,5815
MGP_CASTEiJ_G0034519,Gata1,2438
MGP_CASTEiJ_G0034638,Xiap,9112
MGP_CASTEiJ_G0034639,Stag2,8178
MGP_CASTEiJ_G0034640,Tenm1,17393
MGP_CASTEiJ_G0034641,Gm43337,1834
MGP_CASTEiJ_G0034520,Glod5,673
MGP_CASTEiJ_G0034521,Suv39h1,5278
MGP_CASTEiJ_G0034522,Was,2055
MGP_CASTEiJ_G0034643,Gm362,2074
MGP_CASTEiJ_G0034523,Wdr13,5187
MGP_CASTEiJ_G0034524,Rbm3,4771
MGP_CASTEiJ_G0034525,Tbc1d25,2794
MGP_CASTEiJ_G0034644,Dcaf12l2,2894
MGP_CASTEiJ_G0034526,Ebp,2305
MGP_CASTEiJ_G0034527,Porcn,3000
MGP_CASTEiJ_G0034645,Dcaf12l1,3532
MGP_CASTEiJ_G0034646,Prr32,1110
MGP_CASTEiJ_G0034528,Ftsj1,4776
MGP_CASTEiJ_G0034529,Slc38a5,2197
MGP_CASTEiJ_G0034647,Actrt1,1339
MGP_CASTEiJ_G0034648,Smarca1,5989
MGP_CASTEiJ_G0034649,Ocrl,9868
MGP_CASTEiJ_G0034650,Apln,3155
MGP_CASTEiJ_G0034651,Xpnpep2,4878
MGP_CASTEiJ_G0034652,Sash3,2676
MGP_CASTEiJ_G0034653,Zdhhc9,6651
MGP_CASTEiJ_G0034654,Utp14a,4117
MGP_CASTEiJ_G0034655,Bcorl1,6576
MGP_CASTEiJ_G0034656,Elf4,6154
MGP_CASTEiJ_G0034657,Aifm1,4006
MGP_CASTEiJ_G0034658,Rab33a,1156
MGP_CASTEiJ_G0034659,Zfp280c,5241
MGP_CASTEiJ_G0034660,Slc25a14,2569
MGP_CASTEiJ_G0034661,Gpr119,2272
MGP_CASTEiJ_G0034662,Rbmx2,1669
MGP_CASTEiJ_G0034663,Gm595,2122
MGP_CASTEiJ_G0034664,Enox2,4356
MGP_CASTEiJ_G0034665,Arhgap36,3605
MGP_CASTEiJ_G0034666,Olfr1320,960
MGP_CASTEiJ_G0034667,Olfr1321,960
MGP_CASTEiJ_G0034668,Igsf1,5549
MGP_CASTEiJ_G0034669,Olfr1322,933
MGP_CASTEiJ_G0034670,Olfr1323,934
MGP_CASTEiJ_G0034671,Olfr1324,999
MGP_CASTEiJ_G0034672,Stk26,5268
MGP_CASTEiJ_G0034674,Rap2c,3545
MGP_CASTEiJ_G0034675,Mbnl3,5540
MGP_CASTEiJ_G0034530,B630019K06Rik,2572
MGP_CASTEiJ_G0034676,Hs6st2,7825
MGP_CASTEiJ_G0034677,Usp26,4117
MGP_CASTEiJ_G0034678,1700080O16Rik,1571
MGP_CASTEiJ_G0034679,Gpc4,2645
MGP_CASTEiJ_G0034680,Gpc3,2693
MGP_CASTEiJ_G0034681,Ccdc160,1542
MGP_CASTEiJ_G0034682,Phf6,6990
MGP_CASTEiJ_G0034683,Hprt,1289
MGP_CASTEiJ_G0034684,Plac1,1394
MGP_CASTEiJ_G0034685,Fam122b,4405
MGP_CASTEiJ_G0034686,Fam122c,915
MGP_CASTEiJ_G0034687,Mospd1,840
MGP_CASTEiJ_G0034688,Etd,471
MGP_CASTEiJ_G0034693,Cxx1c,404
MGP_CASTEiJ_G0034694,4930502E18Rik,1422
MGP_CASTEiJ_G0034531,4930402K13Rik,1782
MGP_CASTEiJ_G0034695,1700013H16Rik,1224
MGP_CASTEiJ_G0034696,Zfp36l3,2347
MGP_CASTEiJ_G0034698,Gm773,984
MGP_CASTEiJ_G0034532,Lancl3,3989
MGP_CASTEiJ_G0034699,Zfp449,3740
MGP_CASTEiJ_G0034700,Ddx26b,7170
MGP_CASTEiJ_G0034701,Gm10477,165
MGP_CASTEiJ_G0034702,Gm648,950
MGP_CASTEiJ_G0034703,Mmgt1,4231
MGP_CASTEiJ_G0034704,Slc9a6,5012
MGP_CASTEiJ_G0034705,Fhl1,3862
MGP_CASTEiJ_G0034706,Mtap7d3,2895
MGP_CASTEiJ_G0034533,Gm14862,867
MGP_CASTEiJ_G0034708,Brs3,2772
MGP_CASTEiJ_G0034709,Htatsf1,4889
MGP_CASTEiJ_G0034710,Vgll1,2453
MGP_CASTEiJ_G0034711,Cd40lg,1251
MGP_CASTEiJ_G0034712,Arhgef6,8084
MGP_CASTEiJ_G0034713,Rbmx,4336
MGP_CASTEiJ_G0034714,Gm364,2156
MGP_CASTEiJ_G0034715,Gpr101,5412
MGP_CASTEiJ_G0034716,Zic3,4747
MGP_CASTEiJ_G0034535,Cybb,5802
MGP_CASTEiJ_G0034717,4930550L24Rik,1684
MGP_CASTEiJ_G0034718,Fgf13,3964
MGP_CASTEiJ_G0034719,F9,2739
MGP_CASTEiJ_G0034720,Mcf2,4477
MGP_CASTEiJ_G0034721,Atp11c,7311
MGP_CASTEiJ_G0034722,Gm7073,1301
MGP_CASTEiJ_G0034536,Dynlt3,1453
MGP_CASTEiJ_G0034723,Sox3,2063
MGP_CASTEiJ_G0034724,Cdr1,2505
