"gene_id","gene_name","chromosome","locus","rpkm"
,"Xkr4",1,"chr1:3204562-3661579",0.062191
,"Rp1",1,"chr1:4280926-4399322",0.005842
,"Sox17",1,"chr1:4481008-4486494",1.42879
,"Mrpl15",1,"chr1:4763278-4775807",14.244461
,"Lypla1",1,"chr1:4797973-4836816",14.0455
,"Tcea1",1,"chr1:4847774-4887990",6.36026
,"Rgs20",1,"chr1:4899656-5060366",0.145924
,"Atp6v1h",1,"chr1:5073253-5152630",32.4901
,"Oprk1",1,"chr1:5578573-5596214",0
,"Npbwr1",1,"chr1:5903787-5907479",0
,"Rb1cc1",1,"chr1:6204742-6266185",14.1137
,"Fam150a",1,"chr1:6349411-6384812",0
,"St18",1,"chr1:6477311-6851021",0.224698
,"Pcmtd1",1,"chr1:7079000-7163709",9.90333
,"Sntg1",1,"chr1:8352741-9289811",0
,"Rrs1",1,"chr1:9535488-9537536",10.9163
,"Adhfe1",1,"chr1:9538126-9568049",0.466428
,"2610203C22Rik",1,"chr1:9550913-9621173",0.260307
,"3110035E14Rik",1,"chr1:9591347-9617223",0.114409
,"Mybl1",1,"chr1:9658915-9690290",2.25007
,"Vcpip1",1,"chr1:9713277-9738463",25.0945
,"1700034P13Rik",1,"chr1:9737728-9761337",0.131933
,"Sgk3",1,"chr1:9788210-9892649",23.350726
,"6030422M02Rik",1,"chr1:9898718-9931035",0.581076
,"Snhg6",1,"chr1:9932105-9934199",62.8317
,"Snord87",1,"chr1:9932550-9932624",315.851
,"Ppp1r42",1,"chr1:9958706-9999211",0.141746
,"Cops5",1,"chr1:10014911-10027979",72.3132
,"Cspp1",1,"chr1:10028298-10126849",7.03215
,"Arfgef1",1,"chr1:10127587-10222751",21.7164
,"Cpa6",1,"chr1:10314807-10710024",0.074123
,"Prex2",1,"chr1:10983545-11293763",4.39247
,"A830018L16Rik",1,"chr1:11404185-11965983",0.016554
,"4932411L15",1,"chr1:12657643-12663171",0
,"Sulf1",1,"chr1:12682510-12850453",3.415002
,"Slco5a1",1,"chr1:12856630-12981216",0.354453
,"Prdm14",1,"chr1:13103508-13117244",0
,"Ncoa2",1,"chr1:13129239-13364164",7.99117
,"Tram1",1,"chr1:13554782-13579945",55.1977
,"Lactb2",1,"chr1:13615979-13650590",14.409
,"Xkr9",1,"chr1:13658851-13691804",0.04953
,"Gm5523",1,"chr1:13775765-13777010",0
,"Eya1",1,"chr1:14159038-14300280",1.085778
,"Msc",1,"chr1:14743428-14746047",2.17294
,"Trpa1",1,"chr1:14862728-14908943",0.042045
