"gene_id","gene_name","chromosome","count","locus"
,"Xkr4",1,0,"chr1:3204562-3661579"
,"Rp1",1,1,"chr1:4280926-4399322"
,"Sox17",1,45,"chr1:4481008-4486494"
,"Mrpl15",1,297,"chr1:4763278-4775807"
,"Lypla1",1,230,"chr1:4797973-4836816"
,"Tcea1",1,81,"chr1:4847774-4887990"
,"Rgs20",1,1,"chr1:4899656-5060366"
,"Atp6v1h",1,405,"chr1:5073253-5152630"
,"Oprk1",1,0,"chr1:5578573-5596214"
,"Npbwr1",1,0,"chr1:5903787-5907479"
,"Rb1cc1",1,327,"chr1:6204742-6266185"
,"Fam150a",1,0,"chr1:6349411-6384812"
,"St18",1,12,"chr1:6477311-6851021"
,"Pcmtd1",1,655,"chr1:7079000-7163709"
,"Sntg1",1,0,"chr1:8352741-9289811"
,"Rrs1",1,28,"chr1:9535488-9537536"
,"Adhfe1",1,26,"chr1:9538126-9568049"
,"2610203C22Rik",1,10,"chr1:9550913-9621173"
,"3110035E14Rik",1,6,"chr1:9591347-9617223"
,"Mybl1",1,74,"chr1:9658915-9690290"
,"Vcpip1",1,546,"chr1:9713277-9738463"
,"1700034P13Rik",1,0,"chr1:9737728-9761337"
,"Sgk3",1,626,"chr1:9788210-9892649"
,"6030422M02Rik",1,4,"chr1:9898718-9931035"
,"Snhg6",1,18,"chr1:9932105-9934199"
,"Snord87",1,0,"chr1:9932550-9932624"
,"Ppp1r42",1,1,"chr1:9958706-9999211"
,"Cops5",1,373,"chr1:10014911-10027979"
,"Cspp1",1,262,"chr1:10028298-10126849"
,"Arfgef1",1,656,"chr1:10127587-10222751"
,"Cpa6",1,0,"chr1:10314807-10710024"
,"Prex2",1,233,"chr1:10983545-11293763"
,"A830018L16Rik",1,0,"chr1:11404185-11965983"
,"4932411L15",1,0,"chr1:12657643-12663171"
,"Sulf1",1,253,"chr1:12682510-12850453"
,"Slco5a1",1,140,"chr1:12856630-12981216"
,"Prdm14",1,1,"chr1:13103508-13117244"
,"Ncoa2",1,553,"chr1:13129239-13364164"
,"Tram1",1,1339,"chr1:13554782-13579945"
,"Lactb2",1,115,"chr1:13615979-13650590"
,"Xkr9",1,0,"chr1:13658851-13691804"
,"Gm5523",1,0,"chr1:13775765-13777010"
,"Eya1",1,28,"chr1:14159038-14300280"
,"Msc",1,92,"chr1:14743428-14746047"
,"Trpa1",1,1,"chr1:14862728-14908943"
,"Kcnb2",1,1,"chr1:15302532-15704295"
,"Terf1",1,255,"chr1:15795738-15833510"
,"Gm106",1,5,"chr1:15843942-15882803"
,"4930444P10Rik",1,0,"chr1:16056059-16083122"
,"Rpl7",1,8,"chr1:16091375-16094514"
,"Rdh10",1,154,"chr1:16095962-16122631"
,"Stau2",1,24,"chr1:16218890-16509383"
,"Ube2w",1,178,"chr1:16559486-16609367"
,"Tceb1",1,112,"chr1:16632845-16646946"
,"D030040B21Rik",1,0,"chr1:16647632-16652359"
,"Tmem70",1,280,"chr1:16655271-16668356"
,"Ly96",1,110,"chr1:16678536-16699686"
,"Jph1",1,17,"chr1:16985020-17087970"
,"Gdap1",1,3,"chr1:17135453-17154351"
,"Pi15",1,85,"chr1:17591981-17621020"
,"Crispld1",1,73,"chr1:17717497-17756288"
,"Crisp4",1,0,"chr1:18105271-18127132"
,"Defb44-ps",1,0,"chr1:18200133-18213645"
,"Defb18",1,0,"chr1:18226553-18227524"
,"Defb41",1,0,"chr1:18241058-18255219"
,"Gm15386",1,0,"chr1:18250604-18255219"
,"Tfap2d",1,0,"chr1:19093102-19156413"
,"Tfap2b",1,1,"chr1:19198994-19228815"
,"Pkhd1",1,0,"chr1:20047859-20608138"
,"4930486I03Rik",1,0,"chr1:20346534-20382381"
,"Mir206",1,0,"chr1:20669090-20669163"
,"Mir133b",1,0,"chr1:20672849-20672968"
,"Il17a",1,0,"chr1:20720985-20724577"
,"Il17f",1,1,"chr1:20767229-20774351"
,"Mcm3",1,473,"chr1:20793094-20810294"
,"6720483E21Rik",1,3,"chr1:20878730-20880554"
,"Paqr8",1,42,"chr1:20880702-20928837"
,"Efhc1",1,18,"chr1:20941706-20980922"
,"Tram2",1,26,"chr1:20991458-21069306"
,"Tmem14a",1,10,"chr1:21208711-21220248"
,"Gsta3",1,116,"chr1:21230669-21255640"
,"Gm4956",1,94,"chr1:21275326-21288393"
,"Khdc1a",1,0,"chr1:21339757-21342280"
,"Khdc1c",1,0,"chr1:21358411-21359824"
,"Khdc1b",1,0,"chr1:21373636-21376465"
,"Kcnq5",1,43,"chr1:21388483-21952023"
,"Rims1",1,1,"chr1:22278502-22812563"
,"4933415F23Rik",1,0,"chr1:23107312-23109092"
,"Mir30a",1,0,"chr1:23279107-23279178"
,"Mir30c-2",1,0,"chr1:23298539-23298623"
,"Ogfrl1",1,766,"chr1:23373262-23390014"
,"B3gat2",1,47.5556,"chr1:23768764-23854697"
,"Smap1",1,145.444,"chr1:23852465-23929128"
,"1110058L19Rik",1,154,"chr1:24002777-24012479"
,"Fam135a",1,103,"chr1:24017596-24107180"
,"Col9a1",1,0,"chr1:24184448-24259577"
,"Col19a1",1,14,"chr1:24264521-24594276"
,"Lmbrd1",1,905,"chr1:24685382-24823146"
,"Bai3",1,8,"chr1:25124320-25886552"
,"Gm20172",1,0,"chr1:25333248-25334799"
,"4931408C20Rik",1,0,"chr1:26738645-26744305"
,"Gm597",1,0,"chr1:28832966-28837097"
,"Phf3",1,1276,"chr1:30859186-30920101"
,"Ptp4a1",1,98,"chr1:30997147-31006600"
,"Gm13363",1,0,"chr1:30998436-31006555"
,"4931428L18Rik",1,0,"chr1:31197922-31279501"
,"Lgsn",1,0,"chr1:31233279-31261570"
,"4930521A18Rik",1,0,"chr1:31279683-31281132"
,"Gm4850",1,0,"chr1:31321691-31324906"
